row,cat_id,name,bucket,confidence,frequency,threshold,total_images,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,f1,weighted_f1
55,56,baseball_base,high,high,f,0.42,100169,303,99866,99,485,99381,204,0.1695,0.3267,0.2232,0.1876
56,57,baseball,high,high,f,0.4,100169,738,99431,521,1723,97708,217,0.2322,0.706,0.3494,0.2682
57,58,baseball_bat,high,high,f,0.41,100169,1799,98370,1046,631,97739,753,0.6237,0.5814,0.6018,0.6148
58,59,baseball_cap,high,high,f,0.38,100169,1934,98235,264,1037,97198,1670,0.2029,0.1365,0.1632,0.1849
59,60,baseball_glove,high,high,f,0.39,100169,1609,98560,1198,990,97570,411,0.5475,0.7446,0.631,0.5781
60,61,basket,high,high,f,0.37,100169,1622,98547,91,1945,96602,1531,0.0447,0.0561,0.0498,0.0466
61,62,basketball,medium,medium,c,0.43,100169,41,100128,3,29,100099,38,0.0938,0.0732,0.0822,0.0888
62,63,bass_horn,weak,low,r,0.45,100169,4,100165,0,0,100165,4,0.0,0.0,0.0,0.0
63,64,bat_(animal),medium,medium,c,0.4,100169,11,100158,1,19,100139,10,0.05,0.0909,0.0645,0.0549
64,65,bath_mat,high,high,f,0.41,100169,270,99899,43,367,99532,227,0.1049,0.1593,0.1265,0.1126
65,66,bath_towel,high,high,f,0.41,100169,349,99820,51,439,99381,298,0.1041,0.1461,0.1216,0.1104
66,67,bathrobe,medium,medium,c,0.41,100169,42,100127,3,62,100065,39,0.0462,0.0714,0.0561,0.0497
67,68,bathtub,high,high,f,0.41,100169,823,99346,371,1205,98141,452,0.2354,0.4508,0.3093,0.2603
68,69,batter_(food),weak,low,r,0.45,100169,6,100163,0,0,100163,6,0.0,0.0,0.0,0.0
69,70,battery,medium,medium,c,0.4,100169,48,100121,1,7,100114,47,0.125,0.0208,0.0357,0.0625
70,71,beachball,weak,low,r,0.45,100169,3,100166,0,0,100166,3,0.0,0.0,0.0,0.0
71,72,bead,medium,medium,c,0.4,100169,42,100127,2,9,100118,40,0.1818,0.0476,0.0755,0.1163
72,73,bean_curd,medium,medium,c,0.42,100169,24,100145,1,12,100133,23,0.0769,0.0417,0.0541,0.0658
73,74,beanbag,medium,medium,c,0.41,100169,16,100153,2,307,99846,14,0.0065,0.125,0.0123,0.008
74,75,beanie,high,high,f,0.4,100169,605,99564,5,23,99541,600,0.1786,0.0083,0.0158,0.0349
