row,cat_id,name,bucket,frequency,threshold,subset_total,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,f1,weighted_f1
1102,1103,toothpaste,high,f,0.33,374,187,187,164,24,163,23,0.8723,0.877,0.8747,0.8733
1103,1104,toothpick,high,f,0.33,294,147,147,104,63,84,43,0.6228,0.7075,0.6624,0.638
1104,1105,cover,high,f,0.32,272,136,136,119,112,24,17,0.5152,0.875,0.6485,0.5613
1105,1106,tortilla,medium,c,0.37,68,34,34,27,0,34,7,1.0,0.7941,0.8852,0.9507
1106,1107,tow_truck,medium,c,0.37,82,41,41,34,1,40,7,0.9714,0.8293,0.8947,0.9392
1107,1108,towel,high,f,0.34,1272,636,636,466,219,417,170,0.6803,0.7327,0.7055,0.6902
1108,1109,towel_rack,high,f,0.36,1140,570,570,486,53,517,84,0.9017,0.8526,0.8765,0.8914
1109,1110,toy,high,f,0.36,2298,1149,1149,898,200,949,251,0.8179,0.7815,0.7993,0.8103
1110,1111,tractor_(farm_equipment),medium,c,0.33,122,61,61,39,5,56,22,0.8864,0.6393,0.7429,0.8228
1111,1112,traffic_light,high,f,0.35,3780,1890,1890,1454,147,1743,436,0.9082,0.7693,0.833,0.8765
1112,1113,dirt_bike,medium,c,0.34,36,18,18,18,2,16,0,0.9,1.0,0.9474,0.9184
1113,1114,trailer_truck,high,f,0.36,286,143,143,95,4,139,48,0.9596,0.6643,0.7851,0.8813
1114,1115,train_(railroad_vehicle),high,f,0.36,3034,1517,1517,1397,41,1476,120,0.9715,0.9209,0.9455,0.9609
1115,1116,trampoline,weak,r,0.32,14,7,7,6,2,5,1,0.75,0.8571,0.8,0.7692
1116,1117,tray,high,f,0.36,1886,943,943,693,202,741,250,0.7743,0.7349,0.7541,0.7661
1117,1118,trench_coat,weak,r,0.32,12,6,6,3,0,6,3,1.0,0.5,0.6667,0.8333
1118,1119,triangle_(musical_instrument),weak,r,0.31,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
1119,1120,tricycle,medium,c,0.34,22,11,11,10,0,11,1,1.0,0.9091,0.9524,0.9804
1120,1121,tripod,high,f,0.34,202,101,101,78,43,58,23,0.6446,0.7723,0.7027,0.6667
1121,1122,trousers,high,f,0.33,3818,1909,1909,1200,803,1106,709,0.5991,0.6286,0.6135,0.6048
1122,1123,truck,high,f,0.35,1600,800,800,460,67,733,340,0.8729,0.575,0.6933,0.7909
1123,1124,truffle_(chocolate),weak,r,0.28,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
1124,1125,trunk,medium,c,0.36,88,44,44,20,2,42,24,0.9091,0.4545,0.6061,0.7576
1125,1126,vat,weak,r,0.36,6,3,3,3,0,3,0,1.0,1.0,1.0,1.0
1126,1127,turban,medium,c,0.31,88,44,44,38,22,22,6,0.6333,0.8636,0.7308,0.669
1127,1128,turkey_(food),medium,c,0.36,62,31,31,18,2,29,13,0.9,0.5806,0.7059,0.8108
1128,1129,turnip,weak,r,0.32,14,7,7,7,4,3,0,0.6364,1.0,0.7778,0.6863
1129,1130,turtle,medium,c,0.31,40,20,20,17,10,10,3,0.6296,0.85,0.7234,0.6641
1130,1131,turtleneck_(clothing),medium,c,0.32,22,11,11,10,7,4,1,0.5882,0.9091,0.7143,0.6329
1131,1132,typewriter,medium,c,0.32,26,13,13,12,1,12,1,0.9231,0.9231,0.9231,0.9231
1132,1133,umbrella,high,f,0.36,3848,1924,1924,1133,120,1804,791,0.9042,0.5889,0.7133,0.8168
1133,1134,underwear,high,f,0.35,226,113,113,59,9,104,54,0.8676,0.5221,0.6519,0.7662
1134,1135,unicycle,weak,r,0.35,4,2,2,2,0,2,0,1.0,1.0,1.0,1.0
1135,1136,urinal,high,f,0.39,278,139,139,118,6,133,21,0.9516,0.8489,0.8973,0.9291
1136,1137,urn,medium,c,0.38,24,12,12,6,0,12,6,1.0,0.5,0.6667,0.8333
1137,1138,vacuum_cleaner,medium,c,0.33,74,37,37,28,7,30,9,0.8,0.7568,0.7778,0.791
1138,1139,vase,high,f,0.35,3732,1866,1866,1043,75,1791,823,0.9329,0.5589,0.6991,0.8228
1139,1140,vending_machine,medium,c,0.29,94,47,47,37,18,29,10,0.6727,0.7872,0.7255,0.6929
1140,1141,vent,high,f,0.33,2936,1468,1468,1024,894,574,444,0.5339,0.6975,0.6048,0.5602
1141,1142,vest,high,f,0.3,1458,729,729,603,545,184,126,0.5253,0.8272,0.6425,0.5666
1142,1143,videotape,medium,c,0.33,48,24,24,22,10,14,2,0.6875,0.9167,0.7857,0.7237
1143,1144,vinegar,weak,r,0.33,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
1144,1145,violin,weak,r,0.36,20,10,10,4,0,10,6,1.0,0.4,0.5714,0.7692
1145,1146,vodka,weak,r,0.3,6,3,3,3,0,3,0,1.0,1.0,1.0,1.0
1146,1147,volleyball,medium,c,0.33,28,14,14,12,1,13,2,0.9231,0.8571,0.8889,0.9091
1147,1148,vulture,weak,r,0.31,8,4,4,4,0,4,0,1.0,1.0,1.0,1.0
1148,1149,waffle,medium,c,0.37,58,29,29,27,2,27,2,0.931,0.931,0.931,0.931
1149,1150,waffle_iron,weak,r,0.31,8,4,4,4,1,3,0,0.8,1.0,0.8889,0.8333
1150,1151,wagon,medium,c,0.35,140,70,70,53,8,62,17,0.8689,0.7571,0.8092,0.8439
1151,1152,wagon_wheel,medium,c,0.34,92,46,46,29,4,42,17,0.8788,0.6304,0.7342,0.8146
1152,1153,walking_stick,medium,c,0.2,28,14,14,14,14,0,0,0.5,1.0,0.6667,0.5556
1153,1154,wall_clock,medium,c,0.34,96,48,48,22,3,45,26,0.88,0.4583,0.6027,0.7432
1154,1155,wall_socket,high,f,0.33,3710,1855,1855,1231,456,1399,624,0.7297,0.6636,0.6951,0.7154
1155,1156,wallet,high,f,0.36,226,113,113,71,3,110,42,0.9595,0.6283,0.7594,0.868
1156,1157,walrus,weak,r,0.34,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
1157,1158,wardrobe,weak,r,0.32,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
1158,1159,washbasin,weak,r,0.37,20,10,10,10,0,10,0,1.0,1.0,1.0,1.0
1159,1160,automatic_washer,medium,c,0.35,108,54,54,45,5,49,9,0.9,0.8333,0.8654,0.8858
1160,1161,watch,high,f,0.31,3844,1922,1922,1250,1013,909,672,0.5524,0.6504,0.5974,0.5695
1161,1162,water_bottle,high,f,0.29,1260,630,630,425,353,277,205,0.5463,0.6746,0.6037,0.5679
1162,1163,water_cooler,medium,c,0.32,62,31,31,17,13,18,14,0.5667,0.5484,0.5574,0.5629
1163,1164,water_faucet,medium,c,0.35,138,69,69,49,10,59,20,0.8305,0.7101,0.7656,0.8033
1164,1165,water_heater,weak,r,0.33,14,7,7,7,1,6,0,0.875,1.0,0.9333,0.8974
1165,1166,water_jug,medium,c,0.29,22,11,11,10,7,4,1,0.5882,0.9091,0.7143,0.6329
1166,1167,water_gun,weak,r,0.37,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
1167,1168,water_scooter,medium,c,0.33,60,30,30,25,2,28,5,0.9259,0.8333,0.8772,0.9058
1168,1169,water_ski,medium,c,0.39,100,50,50,41,0,50,9,1.0,0.82,0.9011,0.9579
1169,1170,water_tower,medium,c,0.29,90,45,45,40,13,32,5,0.7547,0.8889,0.8163,0.7782
1170,1171,watering_can,medium,c,0.34,56,28,28,17,3,25,11,0.85,0.6071,0.7083,0.787
1171,1172,watermelon,high,f,0.35,228,114,114,55,11,103,59,0.8333,0.4825,0.6111,0.7275
1172,1173,weathervane,high,f,0.35,386,193,193,120,35,158,73,0.7742,0.6218,0.6897,0.738
1173,1174,webcam,medium,c,0.37,42,21,21,18,3,18,3,0.8571,0.8571,0.8571,0.8571
1174,1175,wedding_cake,medium,c,0.4,182,91,91,77,0,91,14,1.0,0.8462,0.9167,0.9649
1175,1176,wedding_ring,medium,c,0.3,62,31,31,22,11,20,9,0.6667,0.7097,0.6875,0.6748
1176,1177,wet_suit,high,f,0.35,2938,1469,1469,950,190,1279,519,0.8333,0.6467,0.7282,0.7879
1177,1178,wheel,high,f,0.35,3848,1924,1924,1068,365,1559,856,0.7453,0.5551,0.6363,0.6975
1178,1179,wheelchair,medium,c,0.33,174,87,87,52,11,76,35,0.8254,0.5977,0.6933,0.767
1179,1180,whipped_cream,medium,c,0.36,154,77,77,62,4,73,15,0.9394,0.8052,0.8671,0.9091
1180,1181,whistle,medium,c,0.35,22,11,11,9,3,8,2,0.75,0.8182,0.7826,0.7627
1181,1182,wig,medium,c,0.33,94,47,47,39,12,35,8,0.7647,0.8298,0.7959,0.7769
1182,1183,wind_chime,medium,c,0.33,42,21,21,15,2,19,6,0.8824,0.7143,0.7895,0.8427
1183,1184,windmill,medium,c,0.34,94,47,47,22,2,45,25,0.9167,0.4681,0.6197,0.7692
1184,1185,window_box_(for_plants),medium,c,0.3,140,70,70,59,29,41,11,0.6705,0.8429,0.7468,0.6991
1185,1186,windshield_wiper,high,f,0.34,3676,1838,1838,1210,711,1127,628,0.6299,0.6583,0.6438,0.6354
1186,1187,windsock,medium,c,0.35,38,19,19,9,2,17,10,0.8182,0.4737,0.6,0.7143
1187,1188,wine_bottle,high,f,0.31,1062,531,531,325,52,479,206,0.8621,0.6121,0.7159,0.797
1188,1189,wine_bucket,medium,c,0.33,22,11,11,9,0,11,2,1.0,0.8182,0.9,0.9574
1189,1190,wineglass,high,f,0.33,1882,941,941,584,99,842,357,0.8551,0.6206,0.7192,0.795
1190,1191,blinder_(for_horses),high,f,0.32,226,113,113,112,109,4,1,0.5068,0.9912,0.6707,0.5617
1191,1192,wok,medium,c,0.37,52,26,26,22,3,23,4,0.88,0.8462,0.8627,0.873
1192,1193,wolf,weak,r,0.31,10,5,5,5,2,3,0,0.7143,1.0,0.8333,0.7576
1193,1194,wooden_spoon,medium,c,0.32,112,56,56,30,5,51,26,0.8571,0.5357,0.6593,0.7653
1194,1195,wreath,medium,c,0.32,146,73,73,42,7,66,31,0.8571,0.5753,0.6885,0.7807
1195,1196,wrench,medium,c,0.35,64,32,32,21,4,28,11,0.84,0.6562,0.7368,0.7955
1196,1197,wristband,high,f,0.29,256,128,128,115,75,53,13,0.6053,0.8984,0.7233,0.6475
1197,1198,wristlet,high,f,0.3,1246,623,623,403,239,384,220,0.6277,0.6469,0.6372,0.6315
1198,1199,yacht,medium,c,0.34,24,12,12,11,0,12,1,1.0,0.9167,0.9565,0.9821
1199,1200,yogurt,medium,c,0.36,104,52,52,33,5,47,19,0.8684,0.6346,0.7333,0.8088
1200,1201,yoke_(animal_equipment),medium,c,0.2,22,11,11,11,11,0,0,0.5,1.0,0.6667,0.5556
1201,1202,zebra,high,f,0.36,3348,1674,1674,1609,45,1629,65,0.9728,0.9612,0.9669,0.9704
1202,1203,zucchini,medium,c,0.36,162,81,81,59,6,75,22,0.9077,0.7284,0.8082,0.8651
