row,cat_id,name,bucket,frequency,threshold,subset_total,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,f1,weighted_f1
1052,1053,tachometer,weak,r,0.31,14,7,7,7,2,5,0,0.7778,1.0,0.875,0.814
1053,1054,taco,weak,r,0.31,4,2,2,2,0,2,0,1.0,1.0,1.0,1.0
1054,1055,tag,high,f,0.33,3124,1562,1562,1443,1346,216,119,0.5174,0.9238,0.6633,0.5673
1055,1056,taillight,high,f,0.35,3770,1885,1885,1083,286,1599,802,0.7911,0.5745,0.6656,0.7356
1056,1057,tambourine,weak,r,0.31,2,1,1,1,0,1,0,1.0,1.0,1.0,1.0
1057,1058,army_tank,weak,r,0.34,10,5,5,2,0,5,3,1.0,0.4,0.5714,0.7692
1058,1059,tank_(storage_vessel),high,f,0.35,274,137,137,67,24,113,70,0.7363,0.4891,0.5877,0.6687
1059,1060,tank_top_(clothing),high,f,0.33,2188,1094,1094,779,520,574,315,0.5997,0.7121,0.6511,0.6192
1060,1061,tape_(sticky_cloth_or_paper),high,f,0.35,268,134,134,88,29,105,46,0.7521,0.6567,0.7012,0.7309
1061,1062,tape_measure,medium,c,0.34,58,29,29,20,5,24,9,0.8,0.6897,0.7407,0.7752
1062,1063,tapestry,medium,c,0.34,44,22,22,13,2,20,9,0.8667,0.5909,0.7027,0.7927
1063,1064,tarp,high,f,0.33,1044,522,522,311,221,301,211,0.5846,0.5958,0.5901,0.5868
1064,1065,tartan,medium,c,0.34,100,50,50,27,11,39,23,0.7105,0.54,0.6136,0.6683
1065,1066,tassel,medium,c,0.31,136,68,68,58,40,28,10,0.5918,0.8529,0.6988,0.6304
1066,1067,tea_bag,medium,c,0.32,32,16,16,13,3,13,3,0.8125,0.8125,0.8125,0.8125
1067,1068,teacup,medium,c,0.34,80,40,40,27,8,32,13,0.7714,0.675,0.72,0.75
1068,1069,teakettle,medium,c,0.34,70,35,35,33,28,7,2,0.541,0.9429,0.6875,0.5914
1069,1070,teapot,high,f,0.33,270,135,135,92,26,109,43,0.7797,0.6815,0.7273,0.7578
