lvis_row,cat_id,name,ram_row,ram_tag,bucket,frequency,target,threshold,subset_total,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,target_met,best_precision,reason
483,484,garden_hose,1832,garden hose,medium,c,0.9,0.325,82,41,41,29,3,38,12,0.9062,0.7073,1,1.0,ok
484,485,gargle,2733,mouthwash,medium,c,0.9,0.365,56,28,28,24,2,26,4,0.9231,0.8571,1,1.0,ok
485,486,gargoyle,1837,gargoyle,weak,r,0.9,,,3,,,,,,,,0,,low_gt
486,487,garlic,1839,garlic,medium,c,0.9,0.36,130,65,65,43,4,61,22,0.9149,0.6615,1,1.0,ok
487,488,gasmask,1844,gasmask,weak,r,0.9,,,9,,,,,,,,0,,low_gt
488,489,gazelle,,,medium,c,0.9,,,,,,,,,,,0,,unmapped
489,490,gelatin,2270,jelly,medium,c,0.9,0.36,48,24,24,13,1,23,11,0.9286,0.5417,1,0.9286,ok
490,491,gemstone,,,weak,r,0.9,,,,,,,,,,,0,,unmapped
491,492,generator,1854,generator,weak,r,0.9,,,2,,,,,,,,0,,low_gt
492,493,giant_panda,2911,panda,medium,c,0.9,0.345,118,59,59,38,3,56,21,0.9268,0.6441,1,1.0,ok
493,494,gift_wrap,1863,gift wrap,medium,c,0.9,0.355,96,48,48,21,2,46,27,0.913,0.4375,1,1.0,ok
494,495,ginger,1866,ginger,medium,c,0.9,,,17,,,,,,,,0,,low_gt
495,496,giraffe,1870,giraffe,high,f,0.9,0.33,3754,1877,1877,1856,168,1709,21,0.917,0.9888,1,1.0,ok
496,497,cincture,926,waistband,medium,c,0.9,,,18,,,,,,,,0,,low_gt
497,498,glass_(drink_container),,,high,f,0.9,,,,,,,,,,,0,,unmapped
498,499,globe,,,medium,c,0.9,,,,,,,,,,,0,,unmapped
499,500,glove,1893,glove,high,f,0.9,,3780,1890,1890,,,,,,,0,0.6573,unreachable
500,501,goat,1900,goat,medium,c,0.9,0.36,198,99,99,74,7,92,25,0.9136,0.7475,1,1.0,ok
501,502,goggles,1903,goggles,high,f,0.9,,3060,1530,1530,,,,,,,0,0.6866,unreachable
502,503,goldfish,1908,goldfish,weak,r,0.9,,,3,,,,,,,,0,,low_gt
503,504,golf_club,1912,golf club,medium,c,0.9,,,11,,,,,,,,0,,low_gt
504,505,golfcart,,,medium,c,0.9,,,,,,,,,,,0,,unmapped
505,506,gondola_(boat),,,weak,r,0.9,,,,,,,,,,,0,,unmapped
506,507,goose,1915,goose,medium,c,0.9,0.35,126,63,63,47,3,60,16,0.94,0.746,1,1.0,ok
507,508,gorilla,1916,gorilla,weak,r,0.9,,,5,,,,,,,,0,,low_gt
508,509,gourd,1918,gourd,weak,r,0.9,,,6,,,,,,,,0,,low_gt
509,510,grape,1932,grape,high,f,0.9,0.345,466,233,233,94,10,223,139,0.9038,0.4034,1,1.0,ok
510,511,grater,1939,grater,medium,c,0.9,,108,54,54,,,,,,,0,0.5169,unreachable
511,512,gravestone,1942,gravestone,medium,c,0.9,0.325,72,36,36,23,2,34,13,0.92,0.6389,1,1.0,ok
512,513,gravy_boat,1944,gravy boat,weak,r,0.9,,,10,,,,,,,,0,,low_gt
513,514,green_bean,,,high,f,0.9,,,,,,,,,,,0,,unmapped
514,515,green_onion,,,high,f,0.9,,,,,,,,,,,0,,unmapped
515,516,griddle,1955,griddle,weak,r,0.9,,,3,,,,,,,,0,,low_gt
516,517,grill,1956,grill,high,f,0.9,,726,363,363,,,,,,,0,0.8889,unreachable
517,518,grits,1961,grits,weak,r,0.9,,,3,,,,,,,,0,,low_gt
518,519,grizzly,,,medium,c,0.9,,,,,,,,,,,0,,unmapped
519,520,grocery_bag,1962,grocery bag,medium,c,0.9,,,18,,,,,,,,0,,low_gt
520,521,guitar,1976,guitar,high,f,0.9,0.345,398,199,199,85,9,190,114,0.9043,0.4271,1,1.0,ok
521,522,gull,1979,gull,medium,c,0.9,0.345,194,97,97,80,6,91,17,0.9302,0.8247,1,1.0,ok
522,523,gun,1980,gun,medium,c,0.9,,64,32,32,,,,,,,0,0.7143,unreachable
523,524,hairbrush,1992,hairbrush,high,f,0.9,0.34,242,121,121,64,7,114,57,0.9014,0.5289,1,1.0,ok
524,525,hairnet,1995,hairnet,medium,c,0.9,,,16,,,,,,,,0,,low_gt
525,526,hairpin,1996,hairpin,medium,c,0.9,,,12,,,,,,,,0,,low_gt
526,527,halter_top,2003,halter top,weak,r,0.9,,,2,,,,,,,,0,,low_gt
527,528,ham,1824,ham,high,f,0.9,0.37,428,214,214,100,8,206,114,0.9259,0.4673,1,1.0,ok
528,529,hamburger,2005,hamburger,medium,c,0.9,0.355,96,48,48,40,4,44,8,0.9091,0.8333,1,1.0,ok
529,530,hammer,2007,hammer,medium,c,0.9,,52,26,26,,,,,,,0,0.7778,unreachable
530,531,hammock,2008,hammock,medium,c,0.9,,,13,,,,,,,,0,,low_gt
531,532,hamper,2009,hamper,weak,r,0.9,,,4,,,,,,,,0,,low_gt
532,533,hamster,2010,hamster,medium,c,0.9,,,11,,,,,,,,0,,low_gt
533,534,hair_dryer,,,high,f,0.9,,,,,,,,,,,0,,unmapped
534,535,hand_glass,2012,hand glass,weak,r,0.9,,,7,,,,,,,,0,,low_gt
535,536,hand_towel,2013,hand towel,high,f,0.9,0.37,400,200,200,14,1,199,186,0.9333,0.07,1,0.9333,ok
536,537,handcart,293,handcart,medium,c,0.9,0.375,182,91,91,37,1,90,54,0.9737,0.4066,1,1.0,ok
537,538,handcuff,2016,handcuff,weak,r,0.9,,,9,,,,,,,,0,,low_gt
538,539,handkerchief,2018,handkerchief,medium,c,0.9,,144,72,72,,,,,,,0,0.6296,unreachable
539,540,handle,2019,handle,high,f,0.9,,3772,1886,1886,,,,,,,0,0.6667,unreachable
540,541,handsaw,2020,handsaw,weak,r,0.9,,,4,,,,,,,,0,,low_gt
541,542,hardback_book,2032,hardback book,weak,r,0.9,,,1,,,,,,,,0,,low_gt
542,543,harmonium,,,weak,r,0.9,,,,,,,,,,,0,,unmapped
543,544,hat,2044,hat,high,f,0.9,0.39,3864,1932,1932,41,3,1929,1891,0.9318,0.0212,1,1.0,ok
544,545,hatbox,2045,hatbox,weak,r,0.9,,,4,,,,,,,,0,,low_gt
545,546,veil,4342,veil,medium,c,0.9,0.375,112,56,56,18,1,55,38,0.9474,0.3214,1,1.0,ok
546,547,headband,,,high,f,0.9,,,,,,,,,,,0,,unmapped
547,548,headboard,2054,headboard,high,f,0.9,0.35,1510,755,755,624,64,691,131,0.907,0.8265,1,1.0,ok
548,549,headlight,2053,headlight,high,f,0.9,0.395,3686,1843,1843,29,1,1842,1814,0.9667,0.0157,1,1.0,ok
549,550,headscarf,258,headscarf,medium,c,0.9,,192,96,96,,,,,,,0,0.5918,unreachable
550,551,headset,,,weak,r,0.9,,,,,,,,,,,0,,unmapped
551,552,headstall_(for_horses),,,medium,c,0.9,,,,,,,,,,,0,,unmapped
552,553,heart,2059,heart,medium,c,0.9,,132,66,66,,,,,,,0,0.8667,unreachable
553,554,heater,2062,heater,medium,c,0.9,,114,57,57,,,,,,,0,0.7111,unreachable
554,555,helicopter,2067,helicopter,medium,c,0.9,0.35,88,44,44,37,2,42,7,0.9487,0.8409,1,1.0,ok
555,556,helmet,2069,helmet,high,f,0.9,0.385,3810,1905,1905,115,11,1894,1790,0.9127,0.0604,1,0.9348,ok
556,557,heron,2077,heron,weak,r,0.9,,,4,,,,,,,,0,,low_gt
557,558,highchair,1602,feeding chair,medium,c,0.9,0.37,180,90,90,37,4,86,53,0.9024,0.4111,1,1.0,ok
558,559,hinge,2094,hinge,high,f,0.9,,3270,1635,1635,,,,,,,0,0.8,unreachable
559,560,hippopotamus,,,weak,r,0.9,,,,,,,,,,,0,,unmapped
560,561,hockey_stick,2105,hockey stick,weak,r,0.9,,,5,,,,,,,,0,,low_gt
561,562,hog,486,pig,medium,c,0.9,,100,50,50,,,,,,,0,0.8182,unreachable
562,563,home_plate_(baseball),2113,home base,high,f,0.9,0.38,1090,545,545,65,6,539,480,0.9155,0.1193,1,0.9155,ok
563,564,honey,2120,honey,medium,c,0.9,,,20,,,,,,,,0,,low_gt
564,565,fume_hood,1808,fume hood,high,f,0.9,,386,193,193,,,,,,,0,0.5013,unreachable
565,566,hook,2125,hook,high,f,0.9,0.38,570,285,285,6,0,285,279,1.0,0.0211,1,1.0,ok
566,567,hookah,4421,water pipe,weak,r,0.9,,,3,,,,,,,,0,,low_gt
567,568,hornet,2130,hornet,weak,r,0.9,,,1,,,,,,,,0,,low_gt
568,569,horse,1715,horse,high,f,0.9,0.34,3808,1904,1904,1657,138,1766,247,0.9231,0.8703,1,1.0,ok
569,570,hose,2139,hose,high,f,0.9,0.39,588,294,294,10,1,293,284,0.9091,0.034,1,1.0,ok
570,571,hot-air_balloon,2146,hot air balloon,weak,r,0.9,,,3,,,,,,,,0,,low_gt
571,572,hotplate,2153,hotplate,weak,r,0.9,,,5,,,,,,,,0,,low_gt
572,573,hot_sauce,2148,hot sauce,medium,c,0.9,0.36,48,24,24,12,0,24,12,1.0,0.5,1,1.0,ok
573,574,hourglass,2154,hourglass,weak,r,0.9,,,2,,,,,,,,0,,low_gt
574,575,houseboat,,,weak,r,0.9,,,,,,,,,,,0,,unmapped
575,576,hummingbird,2165,hummingbird,medium,c,0.9,,,16,,,,,,,,0,,low_gt
576,577,hummus,2119,hummus,weak,r,0.9,,,8,,,,,,,,0,,low_gt
577,578,polar_bear,2180,polar bear,high,f,0.9,0.325,308,154,154,150,13,141,4,0.9202,0.974,1,1.0,ok
578,579,icecream,2182,icecream,medium,c,0.9,0.365,132,66,66,46,5,61,20,0.902,0.697,1,1.0,ok
579,580,popsicle,,,weak,r,0.9,,,,,,,,,,,0,,unmapped
580,581,ice_maker,2190,ice maker,medium,c,0.9,,48,24,24,,,,,,,0,0.7143,unreachable
581,582,ice_pack,2179,ice bag,weak,r,0.9,,,1,,,,,,,,0,,low_gt
582,583,ice_skate,,,weak,r,0.9,,,,,,,,,,,0,,unmapped
