lvis_row,cat_id,name,ram_row,ram_tag,bucket,frequency,target,threshold,subset_total,num_positives,num_negatives,TP,FP,TN,FN,precision,recall,target_met,best_precision,reason
0,1,aerosol_can,26,spray can,medium,c,0.8,,128,64,64,,,,,,,0,0.6875,unreachable
1,2,air_conditioner,30,air conditioner,high,f,0.8,,728,364,364,,,,,,,0,0.7097,unreachable
2,3,airplane,,,high,f,0.8,,,,,,,,,,,0,,unmapped
3,4,alarm_clock,48,alarm clock,high,f,0.8,0.325,298,149,149,90,22,127,59,0.8036,0.604,1,1.0,ok
4,5,alcohol,52,alcohol,medium,c,0.8,0.345,58,29,29,25,5,24,4,0.8333,0.8621,1,1.0,ok
5,6,alligator,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
6,7,almond,56,almond,medium,c,0.8,0.37,118,59,59,10,2,57,49,0.8333,0.1695,1,1.0,ok
7,8,ambulance,64,ambulance,medium,c,0.8,0.32,44,22,22,16,2,20,6,0.8889,0.7273,1,1.0,ok
8,9,amplifier,69,amplifier,medium,c,0.8,,,12,,,,,,,,0,,low_gt
9,10,anklet,85,anklet,medium,c,0.8,,56,28,28,,,,,,,0,0.75,unreachable
10,11,antenna,24,antenna,high,f,0.8,,1010,505,505,,,,,,,0,0.7923,unreachable
11,12,apple,101,apple,high,f,0.8,0.35,2414,1207,1207,835,151,1056,372,0.8469,0.6918,1,1.0,ok
12,13,applesauce,105,applesauce,weak,r,0.8,,,4,,,,,,,,0,,low_gt
13,14,apricot,109,apricot,weak,r,0.8,,,10,,,,,,,,0,,low_gt
14,15,apron,110,apron,high,f,0.8,0.355,1000,500,500,188,44,456,312,0.8103,0.376,1,1.0,ok
15,16,aquarium,112,aquarium,medium,c,0.8,0.3,66,33,33,29,4,29,4,0.8788,0.8788,1,1.0,ok
16,17,arctic_(type_of_shoe),,,weak,r,0.8,,,,,,,,,,,0,,unmapped
17,18,armband,131,armband,medium,c,0.8,,88,44,44,,,,,,,0,0.6667,unreachable
18,19,armchair,132,armchair,high,f,0.8,0.33,1122,561,561,468,115,446,93,0.8027,0.8342,1,1.0,ok
19,20,armoire,133,armoire,weak,r,0.8,,,8,,,,,,,,0,,low_gt
20,21,armor,134,armor,weak,r,0.8,,,9,,,,,,,,0,,low_gt
21,22,artichoke,148,artichoke,medium,c,0.8,0.335,66,33,33,24,6,27,9,0.8,0.7273,1,1.0,ok
22,23,trash_can,,,high,f,0.8,,,,,,,,,,,0,,unmapped
23,24,ashtray,154,ashtray,medium,c,0.8,,196,98,98,,,,,,,0,0.7895,unreachable
24,25,asparagus,156,asparagus,medium,c,0.8,0.32,140,70,70,69,12,58,1,0.8519,0.9857,1,1.0,ok
25,26,atomizer,3830,spray,medium,c,0.8,0.35,92,46,46,20,5,41,26,0.8,0.4348,1,0.8333,ok
26,27,avocado,199,avocado,high,f,0.8,0.34,234,117,117,92,23,94,25,0.8,0.7863,1,0.9524,ok
27,28,award,200,award,medium,c,0.8,0.345,82,41,41,22,5,36,19,0.8148,0.5366,1,0.8889,ok
28,29,awning,,,high,f,0.8,,,,,,,,,,,0,,unmapped
29,30,ax,204,ax,weak,r,0.8,,,7,,,,,,,,0,,low_gt
30,31,baboon,206,baboon,weak,r,0.8,,,1,,,,,,,,0,,low_gt
31,32,baby_buggy,209,baby carriage,high,f,0.8,0.375,628,314,314,20,4,310,294,0.8333,0.0637,1,1.0,ok
32,33,basketball_backboard,311,basketball backboard,medium,c,0.8,0.33,62,31,31,20,4,27,11,0.8333,0.6452,1,1.0,ok
33,34,backpack,218,backpack,high,f,0.8,0.36,3810,1905,1905,474,113,1792,1431,0.8075,0.2488,1,1.0,ok
34,35,handbag,2014,handbag,high,f,0.8,0.355,3718,1859,1859,385,95,1764,1474,0.8021,0.2071,1,0.8195,ok
35,36,suitcase,2500,luggage,high,f,0.8,0.33,3246,1623,1623,1437,344,1279,186,0.8069,0.8854,1,1.0,ok
36,37,bagel,227,bagel,medium,c,0.8,0.335,94,47,47,44,11,36,3,0.8,0.9362,1,1.0,ok
37,38,bagpipe,228,bagpipe,weak,r,0.8,,,3,,,,,,,,0,,low_gt
38,39,baguet,229,baguette,weak,r,0.8,,,3,,,,,,,,0,,low_gt
39,40,bait,230,bait,weak,r,0.8,,,1,,,,,,,,0,,low_gt
40,41,ball,239,ball,high,f,0.8,0.385,610,305,305,61,15,290,244,0.8026,0.2,1,1.0,ok
41,42,ballet_skirt,244,ballet skirt,weak,r,0.8,,,6,,,,,,,,0,,low_gt
42,43,balloon,245,balloon,high,f,0.8,0.34,420,210,210,93,18,192,117,0.8378,0.4429,1,1.0,ok
43,44,bamboo,249,bamboo,medium,c,0.8,0.35,72,36,36,14,3,33,22,0.8235,0.3889,1,1.0,ok
44,45,banana,251,banana,high,f,0.8,0.35,3574,1787,1787,1308,260,1527,479,0.8342,0.732,1,1.0,ok
45,46,Band_Aid,256,band aid,medium,c,0.8,,,17,,,,,,,,0,,low_gt
46,47,bandage,257,bandage,medium,c,0.8,0.36,102,51,51,9,2,49,42,0.8182,0.1765,1,1.0,ok
47,48,bandanna,,,high,f,0.8,,,,,,,,,,,0,,unmapped
48,49,banjo,263,banjo,weak,r,0.8,,,3,,,,,,,,0,,low_gt
49,50,banner,268,banner,high,f,0.8,0.37,2940,1470,1470,70,12,1458,1400,0.8537,0.0476,1,1.0,ok
50,51,barbell,279,barbell,weak,r,0.8,,,3,,,,,,,,0,,low_gt
51,52,barge,283,barge,weak,r,0.8,,,2,,,,,,,,0,,low_gt
52,53,barrel,290,barrel,high,f,0.8,0.385,372,186,186,10,1,185,176,0.9091,0.0538,1,1.0,ok
53,54,barrette,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
54,55,barrow,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
55,56,baseball_base,296,baseball base,high,f,0.8,0.31,606,303,303,303,69,234,0,0.8145,1.0,1,1.0,ok
56,57,baseball,295,baseball,high,f,0.8,0.325,1476,738,738,714,158,580,24,0.8188,0.9675,1,1.0,ok
57,58,baseball_bat,297,baseball bat,high,f,0.8,0.32,3598,1799,1799,1727,330,1469,72,0.8396,0.96,1,1.0,ok
58,59,baseball_cap,2281,jockey cap,high,f,0.8,0.345,3868,1934,1934,939,232,1702,995,0.8019,0.4855,1,0.9,ok
59,60,baseball_glove,301,baseball glove,high,f,0.8,0.305,3218,1609,1609,1590,355,1254,19,0.8175,0.9882,1,1.0,ok
60,61,basket,308,basket,high,f,0.8,0.385,3244,1622,1622,37,9,1613,1585,0.8043,0.0228,1,1.0,ok
61,62,basketball,310,basketball,medium,c,0.8,0.34,82,41,41,32,8,33,9,0.8,0.7805,1,1.0,ok
62,63,bass_horn,321,bass horn,weak,r,0.8,,,4,,,,,,,,0,,low_gt
63,64,bat_(animal),323,bat,medium,c,0.8,,,11,,,,,,,,0,,low_gt
64,65,bath_mat,326,bath mat,high,f,0.8,0.33,540,270,270,258,64,206,12,0.8012,0.9556,1,1.0,ok
65,66,bath_towel,327,bath towel,high,f,0.8,0.32,698,349,349,330,68,281,19,0.8291,0.9456,1,1.0,ok
66,67,bathrobe,329,bathrobe,medium,c,0.8,0.32,84,42,42,41,8,34,1,0.8367,0.9762,1,1.0,ok
67,68,bathtub,,,high,f,0.8,,,,,,,,,,,0,,unmapped
68,69,batter_(food),340,batter,weak,r,0.8,,,6,,,,,,,,0,,low_gt
69,70,battery,341,battery,medium,c,0.8,0.355,96,48,48,44,9,39,4,0.8302,0.9167,1,1.0,ok
70,71,beachball,,,weak,r,0.8,,,,,,,,,,,0,,unmapped
71,72,bead,358,bead,medium,c,0.8,0.345,84,42,42,19,3,39,23,0.8636,0.4524,1,1.0,ok
72,73,bean_curd,4177,tofu,medium,c,0.8,0.325,48,24,24,24,6,18,0,0.8,1.0,1,1.0,ok
73,74,beanbag,365,beanbag,medium,c,0.8,,,16,,,,,,,,0,,low_gt
74,75,beanie,,,high,f,0.8,,,,,,,,,,,0,,unmapped
75,76,bear,366,bear,high,f,0.8,0.335,1292,646,646,614,137,509,32,0.8176,0.9505,1,0.996,ok
76,77,bed,375,bed,high,f,0.8,0.345,3530,1765,1765,1704,381,1384,61,0.8173,0.9654,1,1.0,ok
77,78,bedpan,380,bedpan,weak,r,0.8,,,2,,,,,,,,0,,low_gt
78,79,bedspread,376,bedcover,high,f,0.8,0.34,250,125,125,115,24,101,10,0.8273,0.92,1,1.0,ok
79,80,cow,1160,cow,high,f,0.8,0.33,2840,1420,1420,1363,277,1143,57,0.8311,0.9599,1,1.0,ok
80,81,beef_(food),385,beef,high,f,0.8,0.35,280,140,140,137,28,112,3,0.8303,0.9786,1,1.0,ok
81,82,beeper,387,beeper,weak,r,0.8,,,4,,,,,,,,0,,low_gt
82,83,beer_bottle,389,beer bottle,high,f,0.8,0.305,644,322,322,189,42,280,133,0.8182,0.587,1,0.9524,ok
83,84,beer_can,390,beer can,medium,c,0.8,0.33,120,60,60,43,10,50,17,0.8113,0.7167,1,1.0,ok
84,85,beetle,395,beetle,weak,r,0.8,,,2,,,,,,,,0,,low_gt
85,86,bell,,,high,f,0.8,,,,,,,,,,,0,,unmapped
86,87,bell_pepper,398,bell pepper,high,f,0.8,0.34,666,333,333,71,17,316,262,0.8068,0.2132,1,1.0,ok
87,88,belt,400,belt,high,f,0.8,,3882,1941,1941,,,,,,,0,0.7654,unreachable
88,89,belt_buckle,401,belt buckle,high,f,0.8,0.335,734,367,367,73,14,353,294,0.8391,0.1989,1,0.9655,ok
89,90,bench,402,bench,high,f,0.8,0.345,3844,1922,1922,1108,243,1679,814,0.8201,0.5765,1,1.0,ok
90,91,beret,406,beret,medium,c,0.8,,,18,,,,,,,,0,,low_gt
91,92,bib,410,bib,medium,c,0.8,0.35,162,81,81,56,13,68,25,0.8116,0.6914,1,1.0,ok
92,93,Bible,412,bible,weak,r,0.8,,,1,,,,,,,,0,,low_gt
93,94,bicycle,414,bicycle,high,f,0.8,0.325,3704,1852,1852,1421,354,1498,431,0.8006,0.7673,1,1.0,ok
94,95,visor,4372,visor,high,f,0.8,,860,430,430,,,,,,,0,0.6599,unreachable
95,96,billboard,428,billboard,high,f,0.8,0.325,494,247,247,160,39,208,87,0.804,0.6478,1,1.0,ok
96,97,binder,431,binder,medium,c,0.8,0.345,188,94,94,59,11,83,35,0.8429,0.6277,1,1.0,ok
97,98,binoculars,432,binocular,medium,c,0.8,,42,21,21,,,,,,,0,0.6364,unreachable
98,99,bird,437,bird,high,f,0.8,0.345,3642,1821,1821,1324,308,1513,497,0.8113,0.7271,1,1.0,ok
99,100,birdfeeder,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
100,101,birdbath,442,birdbath,medium,c,0.8,,,12,,,,,,,,0,,low_gt
101,102,birdcage,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
102,103,birdhouse,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
103,104,birthday_cake,446,birthday cake,high,f,0.8,0.315,488,244,244,239,54,190,5,0.8157,0.9795,1,1.0,ok
104,105,birthday_card,448,birthday card,weak,r,0.8,,,7,,,,,,,,0,,low_gt
105,106,pirate_flag,3069,pirate flag,weak,r,0.8,,,1,,,,,,,,0,,low_gt
106,107,black_sheep,456,black sheep,medium,c,0.8,0.325,80,40,40,39,9,31,1,0.8125,0.975,1,1.0,ok
107,108,blackberry,457,blackberry,medium,c,0.8,0.36,80,40,40,8,2,38,32,0.8,0.2,1,0.8571,ok
108,109,blackboard,459,blackboard,high,f,0.8,0.345,208,104,104,17,3,101,87,0.85,0.1635,1,1.0,ok
109,110,blanket,462,blanket,high,f,0.8,0.345,3342,1671,1671,1340,291,1380,331,0.8216,0.8019,1,1.0,ok
110,111,blazer,463,sports coat,medium,c,0.8,,98,49,49,,,,,,,0,0.6667,unreachable
111,112,blender,465,blender,high,f,0.8,0.36,486,243,243,160,30,213,83,0.8421,0.6584,1,1.0,ok
112,113,blimp,,,weak,r,0.8,,,,,,,,,,,0,,unmapped
113,114,blinker,469,flasher,high,f,0.8,,484,242,242,,,,,,,0,0.625,unreachable
114,115,blouse,476,blouse,high,f,0.8,0.34,542,271,271,63,12,259,208,0.84,0.2325,1,0.8627,ok
115,116,blueberry,484,blueberry,high,f,0.8,0.35,208,104,104,64,12,92,40,0.8421,0.6154,1,1.0,ok
116,117,gameboard,,,weak,r,0.8,,,,,,,,,,,0,,unmapped
117,118,boat,491,boat,high,f,0.8,0.325,3516,1758,1758,1639,393,1365,119,0.8066,0.9323,1,1.0,ok
118,119,bob,496,bobfloat,weak,r,0.8,,,1,,,,,,,,0,,low_gt
119,120,bobbin,3344,reel,medium,c,0.8,,96,48,48,,,,,,,0,0.5169,unreachable
120,121,bobby_pin,1994,hairgrip,medium,c,0.8,,,14,,,,,,,,0,,low_gt
121,122,boiled_egg,501,boiled egg,medium,c,0.8,0.325,80,40,40,24,6,34,16,0.8,0.6,1,1.0,ok
122,123,bolo_tie,503,bolo tie,weak,r,0.8,,,1,,,,,,,,0,,low_gt
123,124,deadbolt,1272,deadbolt,medium,c,0.8,,74,37,37,,,,,,,0,0.75,unreachable
124,125,bolt,504,bolt,high,f,0.8,0.37,3020,1510,1510,227,54,1456,1283,0.8078,0.1503,1,0.95,ok
125,126,bonnet,510,bonnet,weak,r,0.8,,,6,,,,,,,,0,,low_gt
126,127,book,512,book,high,f,0.8,0.34,3806,1903,1903,1117,229,1674,786,0.8299,0.587,1,1.0,ok
127,128,bookcase,514,bookcase,medium,c,0.8,0.33,140,70,70,61,13,57,9,0.8243,0.8714,1,1.0,ok
128,129,booklet,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
129,130,bookmark,516,bookmark,weak,r,0.8,,,7,,,,,,,,0,,low_gt
130,131,boom_microphone,519,boom microphone,weak,r,0.8,,,5,,,,,,,,0,,low_gt
131,132,boot,521,boot,high,f,0.8,0.405,2812,1406,1406,4,1,1405,1402,0.8,0.0028,1,0.8,ok
132,133,bottle,525,bottle,high,f,0.8,0.36,3802,1901,1901,260,65,1836,1641,0.8,0.1368,1,1.0,ok
133,134,bottle_opener,527,bottle opener,medium,c,0.8,,,15,,,,,,,,0,,low_gt
134,135,bouquet,531,bouquet,medium,c,0.8,0.33,56,28,28,27,4,24,1,0.871,0.9643,1,1.0,ok
135,136,bow_(weapon),,,weak,r,0.8,,,,,,,,,,,0,,unmapped
136,137,bow_(decorative_ribbons),,,high,f,0.8,,,,,,,,,,,0,,unmapped
137,138,bow-tie,535,bow tie,high,f,0.8,0.34,468,234,234,131,27,207,103,0.8291,0.5598,1,0.9667,ok
138,139,bowl,537,bowl,high,f,0.8,0.37,3844,1922,1922,545,133,1789,1377,0.8038,0.2836,1,1.0,ok
139,140,pipe_bowl,3067,pipe bowl,weak,r,0.8,,,1,,,,,,,,0,,low_gt
140,141,bowler_hat,1295,derby,medium,c,0.8,0.375,70,35,35,4,1,34,31,0.8,0.1143,1,0.8,ok
141,142,bowling_ball,540,bowling ball,weak,r,0.8,,,5,,,,,,,,0,,low_gt
142,143,box,542,box,high,f,0.8,0.375,3656,1828,1828,242,52,1776,1586,0.8231,0.1324,1,0.9231,ok
143,144,boxing_glove,548,boxing glove,weak,r,0.8,,,8,,,,,,,,0,,low_gt
144,145,suspenders,4016,suspenders,medium,c,0.8,0.355,126,63,63,13,2,61,50,0.8667,0.2063,1,0.8667,ok
145,146,bracelet,261,bracelet,high,f,0.8,,3334,1667,1667,,,,,,,0,0.6959,unreachable
146,147,brass_plaque,561,brass plaque,weak,r,0.8,,,4,,,,,,,,0,,low_gt
147,148,brassiere,259,bandeau,medium,c,0.8,,190,95,95,,,,,,,0,0.6842,unreachable
148,149,bread-bin,563,breadbox,medium,c,0.8,,,17,,,,,,,,0,,low_gt
149,150,bread,562,bread,high,f,0.8,0.335,3134,1567,1567,1465,344,1223,102,0.8098,0.9349,1,1.0,ok
150,151,breechcloth,,,weak,r,0.8,,,,,,,,,,,0,,unmapped
151,152,bridal_gown,573,wedding dress,high,f,0.8,0.285,206,103,103,100,23,80,3,0.813,0.9709,1,1.0,ok
152,153,briefcase,579,briefcase,medium,c,0.8,,100,50,50,,,,,,,0,0.7586,unreachable
153,154,broccoli,584,broccoli,high,f,0.8,0.33,2618,1309,1309,1256,278,1031,53,0.8188,0.9595,1,1.0,ok
154,155,broach,582,broach,weak,r,0.8,,,6,,,,,,,,0,,low_gt
155,156,broom,591,broom,medium,c,0.8,0.365,184,92,92,12,2,90,80,0.8571,0.1304,1,0.9091,ok
156,157,brownie,595,brownie,medium,c,0.8,,,19,,,,,,,,0,,low_gt
157,158,brussels_sprouts,600,brussels sprout,medium,c,0.8,0.345,74,37,37,24,6,31,13,0.8,0.6486,1,0.9167,ok
158,159,bubble_gum,602,bubble gum,weak,r,0.8,,,4,,,,,,,,0,,low_gt
159,160,bucket,,,high,f,0.8,,,,,,,,,,,0,,unmapped
160,161,horse_buggy,,,weak,r,0.8,,,,,,,,,,,0,,unmapped
161,162,bull,618,bull,medium,c,0.8,0.345,164,82,82,75,16,66,7,0.8242,0.9146,1,1.0,ok
162,163,bulldog,619,bulldog,medium,c,0.8,,,15,,,,,,,,0,,low_gt
163,164,bulldozer,1388,dozer,weak,r,0.8,,,3,,,,,,,,0,,low_gt
164,165,bullet_train,621,bullet train,medium,c,0.8,0.31,122,61,61,61,14,47,0,0.8133,1.0,1,1.0,ok
165,166,bulletin_board,622,bulletin board,medium,c,0.8,0.325,102,51,51,30,7,44,21,0.8108,0.5882,1,1.0,ok
166,167,bulletproof_vest,623,bulletproof vest,weak,r,0.8,,,5,,,,,,,,0,,low_gt
167,168,bullhorn,625,megaphone,medium,c,0.8,,,13,,,,,,,,0,,low_gt
168,169,bun,629,roll,high,f,0.8,0.37,1284,642,642,321,66,576,321,0.8295,0.5,1,0.8726,ok
169,170,bunk_bed,632,bunk bed,medium,c,0.8,0.355,48,24,24,23,3,21,1,0.8846,0.9583,1,1.0,ok
170,171,buoy,635,buoy,high,f,0.8,0.345,510,255,255,202,48,207,53,0.808,0.7922,1,0.931,ok
171,172,burrito,639,burrito,weak,r,0.8,,,9,,,,,,,,0,,low_gt
172,173,bus_(vehicle),640,bus,high,f,0.8,0.33,3616,1808,1808,1728,427,1381,80,0.8019,0.9558,1,1.0,ok
173,174,business_card,648,business card,medium,c,0.8,0.315,62,31,31,13,3,28,18,0.8125,0.4194,1,0.8333,ok
174,175,butter,658,butter,high,f,0.8,0.36,316,158,158,96,20,138,62,0.8276,0.6076,1,1.0,ok
175,176,butterfly,660,butterfly,medium,c,0.8,0.32,160,80,80,43,8,72,37,0.8431,0.5375,1,1.0,ok
176,177,button,662,button,high,f,0.8,,3768,1884,1884,,,,,,,0,0.6667,unreachable
177,178,cab_(taxi),665,taxi,high,f,0.8,0.32,316,158,158,154,35,123,4,0.8148,0.9747,1,1.0,ok
178,179,cabana,666,cabana,weak,r,0.8,,,2,,,,,,,,0,,low_gt
179,180,cabin_car,669,cabin car,medium,c,0.8,,,12,,,,,,,,0,,low_gt
180,181,cabinet,670,cabinet,high,f,0.8,0.34,3318,1659,1659,1451,360,1299,208,0.8012,0.8746,1,1.0,ok
181,182,locker,2485,locker,weak,r,0.8,,,7,,,,,,,,0,,low_gt
182,183,cake,678,cake,high,f,0.8,0.34,1668,834,834,793,189,645,41,0.8075,0.9508,1,1.0,ok
183,184,calculator,680,calculator,medium,c,0.8,0.29,114,57,57,53,13,44,4,0.803,0.9298,1,1.0,ok
184,185,calendar,682,calendar,high,f,0.8,0.34,348,174,174,76,16,158,98,0.8261,0.4368,1,1.0,ok
185,186,calf,683,calf,medium,c,0.8,0.325,190,95,95,94,22,73,1,0.8103,0.9895,1,1.0,ok
186,187,camcorder,688,camcorder,medium,c,0.8,0.37,54,27,27,4,1,26,23,0.8,0.1481,1,0.8,ok
187,188,camel,689,camel,medium,c,0.8,0.345,44,22,22,13,3,19,9,0.8125,0.5909,1,1.0,ok
188,189,camera,690,camera,high,f,0.8,0.39,2782,1391,1391,106,16,1375,1285,0.8689,0.0762,1,1.0,ok
189,190,camera_lens,691,camera lens,medium,c,0.8,0.34,180,90,90,52,8,82,38,0.8667,0.5778,1,1.0,ok
190,191,camper_(vehicle),694,camper,medium,c,0.8,0.355,80,40,40,20,4,36,20,0.8333,0.5,1,1.0,ok
191,192,can,699,can,high,f,0.8,0.38,890,445,445,7,0,445,438,1.0,0.0157,1,1.0,ok
192,193,can_opener,700,can opener,medium,c,0.8,,42,21,21,,,,,,,0,0.6,unreachable
193,194,candle,704,candle,high,f,0.8,0.33,2264,1132,1132,614,126,1006,518,0.8297,0.5424,1,1.0,ok
194,195,candle_holder,705,candle holder,high,f,0.8,0.31,354,177,177,97,24,153,80,0.8017,0.548,1,0.96,ok
195,196,candy_bar,707,candy bar,weak,r,0.8,,,4,,,,,,,,0,,low_gt
196,197,candy_cane,708,candy cane,medium,c,0.8,,,17,,,,,,,,0,,low_gt
197,198,walking_cane,4391,walking cane,medium,c,0.8,0.37,168,84,84,14,3,81,70,0.8235,0.1667,1,0.8235,ok
198,199,canister,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
199,200,canoe,1435,canoe,medium,c,0.8,0.33,60,30,30,25,4,26,5,0.8621,0.8333,1,1.0,ok
200,201,cantaloup,715,cantaloupe,medium,c,0.8,0.35,50,25,25,17,4,21,8,0.8095,0.68,1,1.0,ok
201,202,canteen,676,canteen,weak,r,0.8,,,2,,,,,,,,0,,low_gt
202,203,cap_(headwear),719,cap,high,f,0.8,,250,125,125,,,,,,,0,0.6486,unreachable
203,204,bottle_cap,526,bottle cap,high,f,0.8,0.355,2270,1135,1135,65,14,1121,1070,0.8228,0.0573,1,0.9,ok
204,205,cape,720,cape,medium,c,0.8,,,19,,,,,,,,0,,low_gt
205,206,cappuccino,722,cappuccino,medium,c,0.8,0.315,144,72,72,67,16,56,5,0.8072,0.9306,1,1.0,ok
206,207,car_(automobile),726,car,high,f,0.8,0.345,3852,1926,1926,916,223,1703,1010,0.8042,0.4756,1,0.9286,ok
207,208,railcar_(part_of_a_train),3289,railcar,high,f,0.8,0.315,318,159,159,159,34,125,0,0.8238,1.0,1,1.0,ok
208,209,elevator_car,1485,elevator car,weak,r,0.8,,,7,,,,,,,,0,,low_gt
209,210,car_battery,187,car battery,weak,r,0.8,,,1,,,,,,,,0,,low_gt
210,211,identity_card,2201,identity card,medium,c,0.8,,,13,,,,,,,,0,,low_gt
211,212,card,738,card,medium,c,0.8,0.335,70,35,35,16,2,33,19,0.8889,0.4571,1,0.8889,ok
212,213,cardigan,742,cardigan,medium,c,0.8,,,18,,,,,,,,0,,low_gt
213,214,cargo_ship,746,cargo ship,weak,r,0.8,,,8,,,,,,,,0,,low_gt
214,215,carnation,748,carnation,weak,r,0.8,,,6,,,,,,,,0,,low_gt
215,216,horse_carriage,,,medium,c,0.8,,,,,,,,,,,0,,unmapped
216,217,carrot,760,carrot,high,f,0.8,0.345,2444,1222,1222,948,203,1019,274,0.8236,0.7758,1,1.0,ok
217,218,tote_bag,4199,tote bag,high,f,0.8,0.32,206,103,103,40,10,93,63,0.8,0.3883,1,1.0,ok
218,219,cart,763,cart,medium,c,0.8,0.36,56,28,28,21,2,26,7,0.913,0.75,1,1.0,ok
219,220,carton,764,carton,medium,c,0.8,0.355,126,63,63,18,4,59,45,0.8182,0.2857,1,0.8571,ok
220,221,cash_register,3349,register,medium,c,0.8,0.35,56,28,28,10,2,26,18,0.8333,0.3571,1,0.875,ok
221,222,casserole,774,casserole,weak,r,0.8,,,5,,,,,,,,0,,low_gt
222,223,cassette,775,cassette,weak,r,0.8,,,7,,,,,,,,0,,low_gt
223,224,cast,777,plaster bandage,medium,c,0.8,,,14,,,,,,,,0,,low_gt
224,225,cat,780,cat,high,f,0.8,0.33,3836,1918,1918,1826,372,1546,92,0.8308,0.952,1,1.0,ok
225,226,cauliflower,796,cauliflower,high,f,0.8,0.31,266,133,133,123,30,103,10,0.8039,0.9248,1,1.0,ok
226,227,cayenne_(spice),,,medium,c,0.8,,,,,,,,,,,0,,unmapped
227,228,CD_player,800,CD player,medium,c,0.8,0.335,54,27,27,20,4,23,7,0.8333,0.7407,1,1.0,ok
228,229,celery,807,celery,high,f,0.8,0.325,220,110,110,93,21,89,17,0.8158,0.8455,1,1.0,ok
229,230,cellular_telephone,,,high,f,0.8,,,,,,,,,,,0,,unmapped
230,231,chain_mail,2526,chain mail,weak,r,0.8,,,4,,,,,,,,0,,low_gt
231,232,chair,821,chair,high,f,0.8,0.375,3854,1927,1927,224,48,1879,1703,0.8235,0.1162,1,1.0,ok
232,233,chaise_longue,823,daybed,weak,r,0.8,,,8,,,,,,,,0,,low_gt
233,234,chalice,825,chalice,weak,r,0.8,,,1,,,,,,,,0,,low_gt
234,235,chandelier,833,chandelier,high,f,0.8,0.305,526,263,263,236,57,206,27,0.8055,0.8973,1,1.0,ok
235,236,chap,836,chap,weak,r,0.8,,,10,,,,,,,,0,,low_gt
236,237,checkbook,850,checkbook,weak,r,0.8,,,2,,,,,,,,0,,low_gt
237,238,checkerboard,,,weak,r,0.8,,,,,,,,,,,0,,unmapped
238,239,cherry,865,cherry,medium,c,0.8,,174,87,87,,,,,,,0,0.7805,unreachable
239,240,chessboard,851,chessboard,weak,r,0.8,,,9,,,,,,,,0,,low_gt
240,241,chicken_(animal),871,chicken,medium,c,0.8,0.34,142,71,71,57,12,59,14,0.8261,0.8028,1,1.0,ok
241,242,chickpea,876,garbanzo,medium,c,0.8,,,13,,,,,,,,0,,low_gt
242,243,chili_(vegetable),882,chile,medium,c,0.8,,,18,,,,,,,,0,,low_gt
243,244,chime,,,weak,r,0.8,,,,,,,,,,,0,,unmapped
244,245,chinaware,886,chinaware,weak,r,0.8,,,5,,,,,,,,0,,low_gt
245,246,crisp_(potato_chip),3191,potato chip,medium,c,0.8,0.325,90,45,45,40,10,35,5,0.8,0.8889,1,1.0,ok
246,247,poker_chip,3144,poker chip,weak,r,0.8,,,1,,,,,,,,0,,low_gt
247,248,chocolate_bar,896,chocolate bar,medium,c,0.8,0.32,46,23,23,17,4,19,6,0.8095,0.7391,1,1.0,ok
248,249,chocolate_cake,897,chocolate cake,medium,c,0.8,0.28,64,32,32,32,7,25,0,0.8205,1.0,1,1.0,ok
249,250,chocolate_milk,900,chocolate milk,weak,r,0.8,,,4,,,,,,,,0,,low_gt
250,251,chocolate_mousse,901,chocolate mousse,weak,r,0.8,,,1,,,,,,,,0,,low_gt
251,252,choker,2778,neckband,high,f,0.8,,1716,858,858,,,,,,,0,0.7826,unreachable
252,253,chopping_board,905,cutting board,high,f,0.8,0.35,1322,661,661,409,86,575,252,0.8263,0.6188,1,0.9643,ok
253,254,chopstick,906,chopstick,high,f,0.8,0.345,336,168,168,141,35,133,27,0.8011,0.8393,1,1.0,ok
254,255,Christmas_tree,917,christmas tree,high,f,0.8,0.3,420,210,210,195,40,170,15,0.8298,0.9286,1,1.0,ok
255,256,slide,3734,slide,medium,c,0.8,0.375,130,65,65,18,4,61,47,0.8182,0.2769,1,0.9286,ok
256,257,cider,921,cider,weak,r,0.8,,,4,,,,,,,,0,,low_gt
257,258,cigar_box,923,cigar box,weak,r,0.8,,,2,,,,,,,,0,,low_gt
258,259,cigarette,924,cigarette,high,f,0.8,0.365,318,159,159,58,9,150,101,0.8657,0.3648,1,1.0,ok
259,260,cigarette_case,925,cigarette case,medium,c,0.8,0.345,62,31,31,5,1,30,26,0.8333,0.1613,1,0.8333,ok
260,261,cistern,934,water tank,high,f,0.8,0.33,1622,811,811,640,144,667,171,0.8163,0.7891,1,0.9136,ok
261,262,clarinet,947,clarinet,weak,r,0.8,,,1,,,,,,,,0,,low_gt
262,263,clasp,948,clasp,medium,c,0.8,,84,42,42,,,,,,,0,0.5065,unreachable
